yr,Age,gear_group,freq_in_gear,freq_in_pop,selectivity
2017,0,Demtrawl,0,0.094736041230768,0
2017,0,Gill,0,0.094736041230768,0
2017,0,PelTrawl,0,0.094736041230768,0
2017,0,Seines,0,0.094736041230768,0
2017,0,HookLine,0,0.094736041230768,0
2017,0,Other,0,0.094736041230768,0
2017,1,Gill,0,0.29921725444853,0
2017,1,HookLine,0,0.29921725444853,0
2017,1,PelTrawl,0,0.29921725444853,0
2017,1,Other,0,0.29921725444853,0
2017,1,Demtrawl,0,0.29921725444853,0
2017,1,Seines,0,0.29921725444853,0
2017,10,Gill,0.10912312541086,0.0176195721076915,0.000619329032191557
2017,10,Demtrawl,0.111414640152609,0.0176195721076915,0.000632334539520244
2017,10,Other,0.0840869750466778,0.0176195721076915,0.000477236192415655
2017,10,PelTrawl,0.0728306704023114,0.0176195721076915,0.000413350959700766
2017,10,HookLine,0.0109590238498884,0.0176195721076915,6.21980135664274e-05
2017,10,Seines,0.0481031907211106,0.0176195721076915,0.000273009982462128
2017,11,Gill,0.101907952116675,0.00932846055418796,0.00109244126107093
2017,11,Demtrawl,0.0980228718950199,0.00932846055418796,0.00105079365802767
2017,11,Other,0.0767068423234055,0.00932846055418796,0.000822288328045385
2017,11,HookLine,0.0523920761224618,0.00932846055418796,0.000561636894084744
2017,11,Seines,0.0399200186928744,0.00932846055418796,0.00042793790530585
2017,11,PelTrawl,0.0785229674531437,0.00932846055418796,0.000841756975837683
2017,12,HookLine,0.0725433411924145,0.00522412886080864,0.00138862082320813
2017,12,Other,0.0235863824782568,0.00522412886080864,0.000451489293367199
2017,12,Seines,0.0217903926984466,0.00522412886080864,0.000417110551424523
2017,12,PelTrawl,0.0250311218399388,0.00522412886080864,0.00047914441827272
2017,12,Gill,0.0466299102292793,0.00522412886080864,0.000892587290085748
2017,12,Demtrawl,0.0492298665747087,0.00522412886080864,0.000942355517759729
2017,13,Seines,0.0217093652959652,0.00465530864711039,0.000466335681296674
2017,13,Gill,0.0370760667274397,0.00465530864711039,0.000796425533470339
2017,13,Other,0.023598637132665,0.00465530864711039,0.000506918851606391
2017,13,PelTrawl,0.0272596477162689,0.00465530864711039,0.000585560481219421
2017,13,Demtrawl,0.0462370997176765,0.00465530864711039,0.000993212335048428
2017,13,HookLine,0.0183173157936418,0.00465530864711039,0.000393471565091857
2017,14,PelTrawl,0.00892450389183843,0.00372402202047588,0.000239646915157016
2017,14,Gill,0.0162676401919994,0.00372402202047588,0.000436829860364805
2017,14,Seines,0.0112484509119506,0.00372402202047588,0.000302051138529873
2017,14,Demtrawl,0.0124233739714214,0.00372402202047588,0.000333600980421536
2017,14,HookLine,0,0.00372402202047588,0
2017,14,Other,0.00676933826489283,0.00372402202047588,0.000181774925810664
2017,15,Demtrawl,0.0218496321568241,0.00224748695401178,0.000972180600106368
2017,15,PelTrawl,0.0138127527408975,0.00224748695401178,0.000614586559278647
2017,15,HookLine,0.0194323308130825,0.00224748695401178,0.000864624854813758
2017,15,Other,0.0107879142422539,0.00224748695401178,0.000479998970538956
2017,15,Gill,0.0208384630770629,0.00224748695401178,0.000927189501138866
2017,15,Seines,0.0142456727670212,0.00224748695401178,0.000633848963687755
2017,16,HookLine,0.0206751892564297,0.000879797895019328,0.002349993035159
2017,16,Other,0.00327270994416466,0.000879797895019328,0.000371984288970453
2017,16,Seines,0.000812758754611528,0.000879797895019328,9.23801658554404e-05
2017,16,Demtrawl,0.00376537181998672,0.000879797895019328,0.000427981453616003
2017,16,PelTrawl,0.00675363420196199,0.000879797895019328,0.000767634730680234
2017,16,Gill,0.00218583227514938,0.000879797895019328,0.000248447090806163
